Order_id,Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales_Th,COGS,Profit,Profit_Th,Date,Month,Quarter,Year,Customer_Name,Product_Name,Country,qt
23,Enterprise,CUST_ID_023,PROD_ID_002,Low,809,10,125,"1,01,125.00",2022.5,"99,102.50",99.1,"97,080.00","2,022.50",2.02,10-12-2021,Dec,Q4,2021,Sebastian Lee,Paseo,India,809
24,Enterprise,CUST_ID_024,PROD_ID_002,Low,"2,145.00",10,125,"2,68,125.00",5362.5,"2,62,762.50",262.76,"2,57,400.00","5,362.50",5.36,23-05-2021,May,Q2,2021,Elizabeth Green,Paseo,Japan,"2,145.00"
25,Channel Partners,CUST_ID_025,PROD_ID_002,Low,"1,785.00",10,12,"21,420.00",428.4,"20,991.60",20.99,"5,355.00","15,636.60",15.64,18-02-2021,Feb,Q1,2021,Alexander Perez,Paseo,USA,"1,785.00"
26,Midmarket,CUST_ID_026,PROD_ID_002,Low,"1,925.00",10,15,"28,875.00",577.5,"28,297.50",28.3,"19,250.00","9,047.50",9.05,28-01-2021,Jan,Q1,2021,Avery Turner,Paseo,Canada,"1,925.00"
27,Government,CUST_ID_027,PROD_ID_002,Low,"2,013.00",10,7,"14,091.00",281.82,"13,809.18",13.81,"10,065.00","3,744.18",3.74,21-12-2022,Dec,Q4,2021,Michael Hill,Paseo,England,"2,013.00"
28,Government,CUST_ID_028,PROD_ID_003,Low,"2,966.00",120,350,"10,38,100.00",20762,"10,17,338.00","1,017.34","7,71,160.00","2,46,178.00",246.18,13-01-2022,Jan,Q1,2021,Sofia Phillips,Velo,France,"2,966.00"
29,Enterprise,CUST_ID_029,PROD_ID_003,Low,809,120,125,"1,01,125.00",2022.5,"99,102.50",99.1,"97,080.00","2,022.50",2.02,08-11-2022,Nov,Q4,2021,Elijah Martin,Velo,Germany,809
30,Enterprise,CUST_ID_030,PROD_ID_003,Low,"2,145.00",120,125,"2,68,125.00",5362.5,"2,62,762.50",262.76,"2,57,400.00","5,362.50",5.36,19-01-2021,Jan,Q1,2021,Sophia Turner,Velo,Italy,"2,145.00"
31,Government,CUST_ID_031,PROD_ID_003,Low,544,120,20,"10,880.00",217.6,"10,662.40",10.66,"5,440.00","5,222.40",5.22,30-07-2021,Jul,Q3,2021,Benjamin Lee,Velo,India,544
32,Small Business,CUST_ID_032,PROD_ID_004,Low,214,250,300,"64,200.00",1284,"62,916.00",62.92,"53,500.00","9,416.00",9.42,21-02-2021,Feb,Q1,2021,Mia White,VTT,Japan,214
33,Government,CUST_ID_033,PROD_ID_004,Low,266,250,350,"93,100.00",1862,"91,238.00",91.24,"69,160.00","22,078.00",22.08,28-01-2022,Jan,Q1,2021,Logan Garcia,VTT,USA,266
34,Government,CUST_ID_034,PROD_ID_004,Low,"1,940.00",250,350,"6,79,000.00",13580,"6,65,420.00",665.42,"5,04,400.00","1,61,020.00",161.02,12-01-2022,Jan,Q1,2021,Charlotte Davis,VTT,Canada,"1,940.00"
35,Government,CUST_ID_035,PROD_ID_006,Low,"2,966.00",260,350,"10,38,100.00",20762,"10,17,338.00","1,017.34","7,71,160.00","2,46,178.00",246.18,01-07-2022,Jul,Q3,2021,Samuel Johnson,Amarilla,England,"2,966.00"
36,Channel Partners,CUST_ID_036,PROD_ID_005,Low,908,3,12,"10,896.00",326.88,"10,569.12",10.57,"2,724.00","7,845.12",7.85,11-12-2022,Dec,Q4,2021,Harper Anderson,Carretera,France,908
37,Government,CUST_ID_037,PROD_ID_001,Low,"1,797.00",5,350,"6,28,950.00",18868.5,"6,10,081.50",610.08,"4,67,220.00","1,42,861.50",142.86,16-05-2021,May,Q2,2021,Henry Martinez,Montana,Germany,"1,797.00"
38,Midmarket,CUST_ID_038,PROD_ID_002,Low,"1,945.00",10,15,"29,175.00",875.25,"28,299.75",28.3,"19,450.00","8,849.75",8.85,02-05-2022,May,Q2,2021,Amelia Wilson,Paseo,Italy,"1,945.00"
39,Midmarket,CUST_ID_039,PROD_ID_004,Low,"1,945.00",250,15,"29,175.00",875.25,"28,299.75",28.3,"19,450.00","8,849.75",8.85,02-04-2022,Apr,Q2,2021,Jackson Turner,VTT,India,"1,945.00"
40,Government,CUST_ID_040,PROD_ID_002,Low,"1,760.00",10,7,"12,320.00",369.6,"11,950.40",11.95,"8,800.00","3,150.40",3.15,03-11-2021,Nov,Q4,2021,Abigail Lewis,Paseo,Japan,"1,760.00"
41,Midmarket,CUST_ID_002,PROD_ID_002,Low,"2,261.00",10,15,"33,915.00",1356.6,"32,558.40",32.56,"22,610.00","9,948.40",9.95,10-04-2022,Apr,Q2,2021,Emma Johnson,Paseo,Canada,"2,261.00"
42,Government,CUST_ID_041,PROD_ID_003,Low,736,120,20,"14,720.00",588.8,"14,131.20",14.13,"7,360.00","6,771.20",6.77,12-07-2022,Jul,Q3,2021,Aiden Clark,Velo,USA,736
43,Government,CUST_ID_042,PROD_ID_005,Low,"2,851.00",3,7,"19,957.00",798.28,"19,158.72",19.16,"14,255.00","4,903.72",4.9,20-12-2022,Dec,Q4,2021,Emily Garcia,Carretera,Canada,"2,851.00"
44,Government,CUST_ID_043,PROD_ID_001,Low,"2,851.00",5,7,"19,957.00",798.28,"19,158.72",19.16,"14,255.00","4,903.72",4.9,14-07-2021,Jul,Q3,2021,Sebastian Phillips,Montana,England,"2,851.00"
45,Midmarket,CUST_ID_026,PROD_ID_002,Low,671,10,15,"10,065.00",402.6,"9,662.40",9.66,"6,710.00","2,952.40",2.95,15-01-2021,Jan,Q1,2021,Avery Turner,Paseo,Canada,671
46,Midmarket,CUST_ID_044,PROD_ID_002,Low,"1,514.00",10,15,"22,710.00",908.4,"21,801.60",21.8,"15,140.00","6,661.60",6.66,22-03-2022,Mar,Q1,2021,Elizabeth Martin,Paseo,France,"1,514.00"
47,Government,CUST_ID_016,PROD_ID_003,Low,"2,646.00",120,20,"52,920.00",2116.8,"50,803.20",50.8,"26,460.00","24,343.20",24.34,05-06-2022,Jun,Q2,2021,Harper Davis,Velo,Japan,"2,646.00"
48,Government,CUST_ID_033,PROD_ID_004,Low,349,250,350,"1,22,150.00",4886,"1,17,264.00",117.26,"90,740.00","26,524.00",26.52,16-02-2021,Feb,Q1,2021,Logan Garcia,VTT,USA,349
49,Midmarket,CUST_ID_045,PROD_ID_004,Low,"1,514.00",250,15,"22,710.00",908.4,"21,801.60",21.8,"15,140.00","6,661.60",6.66,15-09-2021,Sep,Q3,2021,Alexander Hill,VTT,Germany,"1,514.00"
50,Midmarket,CUST_ID_046,PROD_ID_006,Low,671,260,15,"10,065.00",402.6,"9,662.40",9.66,"6,710.00","2,952.40",2.95,19-10-2022,Oct,Q4,2021,Avery Anderson,Amarilla,Italy,671
51,Government,CUST_ID_047,PROD_ID_006,Low,"1,778.00",260,350,"6,22,300.00",24892,"5,97,408.00",597.41,"4,62,280.00","1,35,128.00",135.13,31-12-2021,Dec,Q4,2021,Michael Wilson,Amarilla,India,"1,778.00"
52,Government,CUST_ID_037,PROD_ID_001,Medium,"1,159.00",5,7,"8,113.00",405.65,"7,707.35",7.71,"5,795.00","1,912.35",1.91,17-08-2022,Aug,Q3,2021,Henry Martinez,Montana,Germany,"1,159.00"
53,Government,CUST_ID_004,PROD_ID_002,Medium,"2,349.00",10,7,"16,443.00",822.15,"15,620.85",15.62,"11,745.00","3,875.85",3.88,28-09-2022,Sep,Q3,2021,Olivia Brown,Paseo,France,"2,349.00"
54,Government,CUST_ID_035,PROD_ID_006,Medium,"1,159.00",260,7,"8,113.00",405.65,"7,707.35",7.71,"5,795.00","1,912.35",1.91,28-03-2021,Mar,Q1,2021,Samuel Johnson,Amarilla,England,"1,159.00"
55,Government,CUST_ID_048,PROD_ID_005,Medium,"1,016.00",3,7,"7,112.00",355.6,"6,756.40",6.76,"5,080.00","1,676.40",1.68,24-05-2022,May,Q2,2021,Sofia Turner,Carretera,Japan,"1,016.00"
56,Government,CUST_ID_049,PROD_ID_001,Medium,720,5,350,"2,52,000.00",12600,"2,39,400.00",239.4,"1,87,200.00","52,200.00",52.2,08-04-2021,Apr,Q2,2021,Elijah Perez,Montana,USA,720
57,Small Business,CUST_ID_050,PROD_ID_001,Medium,"1,100.00",5,300,"3,30,000.00",16500,"3,13,500.00",313.5,"2,75,000.00","38,500.00",38.5,20-01-2021,Jan,Q1,2021,Mia Hill,Montana,Canada,"1,100.00"
58,Government,CUST_ID_004,PROD_ID_002,Medium,"1,228.00",10,350,"4,29,800.00",21490,"4,08,310.00",408.31,"3,19,280.00","89,030.00",89.03,09-01-2021,Jan,Q1,2021,Olivia Brown,Paseo,France,"1,228.00"
59,Government,CUST_ID_004,PROD_ID_002,Medium,"1,389.00",10,20,"27,780.00",1389,"26,391.00",26.39,"13,890.00","12,501.00",12.5,16-12-2021,Dec,Q4,2021,Olivia Brown,Paseo,France,"1,389.00"
60,Enterprise,CUST_ID_051,PROD_ID_002,Medium,704,10,125,"88,000.00",4400,"83,600.00",83.6,"84,480.00",-880,-0.88,25-07-2021,Jul,Q3,2021,Logan Phillips,Paseo,England,704
61,Government,CUST_ID_004,PROD_ID_002,Medium,"1,802.00",10,20,"36,040.00",1802,"34,238.00",34.24,"18,020.00","16,218.00",16.22,30-09-2021,Sep,Q3,2021,Olivia Brown,Paseo,France,"1,802.00"
62,Government,CUST_ID_052,PROD_ID_002,Medium,"2,136.00",10,7,"14,952.00",747.6,"14,204.40",14.2,"10,680.00","3,524.40",3.52,22-07-2021,Jul,Q3,2021,Charlotte Martin,Paseo,France,"2,136.00"
63,Midmarket,CUST_ID_038,PROD_ID_002,Medium,"2,116.00",10,15,"31,740.00",1587,"30,153.00",30.15,"21,160.00","8,993.00",8.99,16-03-2022,Mar,Q1,2021,Amelia Wilson,Paseo,Italy,"2,116.00"
64,Enterprise,CUST_ID_053,PROD_ID_003,Medium,704,120,125,"88,000.00",4400,"83,600.00",83.6,"84,480.00",-880,-0.88,25-04-2021,Apr,Q2,2021,Samuel Hill,Velo,Germany,704
65,Government,CUST_ID_054,PROD_ID_003,Medium,"1,033.00",120,20,"20,660.00",1033,"19,627.00",19.63,"10,330.00","9,297.00",9.3,28-10-2022,Oct,Q4,2021,Harper Wilson,Velo,Italy,"1,033.00"
66,Government,CUST_ID_055,PROD_ID_004,Medium,"1,389.00",250,20,"27,780.00",1389,"26,391.00",26.39,"13,890.00","12,501.00",12.5,07-09-2021,Sep,Q3,2021,Henry Turner,VTT,India,"1,389.00"
67,Government,CUST_ID_033,PROD_ID_004,Medium,"1,265.00",250,20,"25,300.00",1265,"24,035.00",24.04,"12,650.00","11,385.00",11.39,03-07-2021,Jul,Q3,2021,Logan Garcia,VTT,USA,"1,265.00"
68,Government,CUST_ID_056,PROD_ID_004,Medium,"2,297.00",250,20,"45,940.00",2297,"43,643.00",43.64,"22,970.00","20,673.00",20.67,31-07-2021,Jul,Q3,2021,Amelia Perez,VTT,Japan,"2,297.00"
69,Government,CUST_ID_047,PROD_ID_006,Medium,"1,228.00",260,350,"4,29,800.00",21490,"4,08,310.00",408.31,"3,19,280.00","89,030.00",89.03,11-01-2022,Jan,Q1,2021,Michael Wilson,Amarilla,India,"1,228.00"
70,Channel Partners,CUST_ID_036,PROD_ID_005,Medium,"2,299.00",3,12,"27,588.00",1655.28,"25,932.72",25.93,"6,897.00","19,035.72",19.04,01-01-2022,Jan,Q1,2021,Harper Anderson,Carretera,France,"2,299.00"
71,Government,CUST_ID_057,PROD_ID_005,Medium,263,3,7,"1,841.00",110.46,"1,730.54",1.73,"1,315.00",415.54,0.42,15-04-2021,Apr,Q2,2021,Jackson Hill,Carretera,USA,263
72,Enterprise,CUST_ID_058,PROD_ID_005,Medium,887,3,125,"1,10,875.00",6652.5,"1,04,222.50",104.22,"1,06,440.00","-2,217.50",-2.22,16-08-2022,Aug,Q3,2021,Abigail Phillips,Carretera,Canada,887
73,Government,CUST_ID_059,PROD_ID_001,Medium,"1,403.00",5,7,"9,821.00",589.26,"9,231.74",9.23,"7,015.00","2,216.74",2.22,25-09-2022,Sep,Q3,2021,Aiden Martin,Montana,England,"1,403.00"
74,Channel Partners,CUST_ID_060,PROD_ID_002,Medium,"2,299.00",10,12,"27,588.00",1655.28,"25,932.72",25.93,"6,897.00","19,035.72",19.04,25-04-2021,Apr,Q2,2021,Emily Garcia,Paseo,France,"2,299.00"
75,Government,CUST_ID_027,PROD_ID_002,Medium,727,10,350,"2,54,450.00",15267,"2,39,183.00",239.18,"1,89,020.00","50,163.00",50.16,19-04-2022,Apr,Q2,2021,Michael Hill,Paseo,England,727
76,Small Business,CUST_ID_061,PROD_ID_003,Medium,"1,221.00",120,300,"3,66,300.00",21978,"3,44,322.00",344.32,"3,05,250.00","39,072.00",39.07,25-05-2021,May,Q2,2021,Benjamin Martin,Velo,Germany,"1,221.00"
77,Government,CUST_ID_054,PROD_ID_003,Medium,"2,076.00",120,350,"7,26,600.00",43596,"6,83,004.00",683,"5,39,760.00","1,43,244.00",143.24,24-09-2021,Sep,Q3,2021,Harper Wilson,Velo,Italy,"2,076.00"
78,Small Business,CUST_ID_062,PROD_ID_004,Medium,"1,221.00",250,300,"3,66,300.00",21978,"3,44,322.00",344.32,"3,05,250.00","39,072.00",39.07,20-08-2021,Aug,Q3,2021,Mia Lewis,VTT,Italy,"1,221.00"
79,Government,CUST_ID_034,PROD_ID_004,Medium,"1,123.00",250,20,"22,460.00",1347.6,"21,112.40",21.11,"11,230.00","9,882.40",9.88,25-07-2022,Jul,Q3,2021,Charlotte Davis,VTT,Canada,"1,123.00"
80,Small Business,CUST_ID_063,PROD_ID_004,Medium,"2,436.00",250,300,"7,30,800.00",43848,"6,86,952.00",686.95,"6,09,000.00","77,952.00",77.95,05-03-2021,Mar,Q1,2021,Logan Clark,VTT,India,"2,436.00"
81,Government,CUST_ID_064,PROD_ID_006,Medium,727,260,350,"2,54,450.00",15267,"2,39,183.00",239.18,"1,89,020.00","50,163.00",50.16,21-02-2022,Feb,Q1,2021,Charlotte Anderson,Amarilla,Japan,727
82,Government,CUST_ID_065,PROD_ID_006,Medium,"1,403.00",260,7,"9,821.00",589.26,"9,231.74",9.23,"7,015.00","2,216.74",2.22,08-09-2021,Sep,Q3,2021,Samuel Wilson,Amarilla,USA,"1,403.00"
83,Government,CUST_ID_065,PROD_ID_006,Medium,"2,076.00",260,350,"7,26,600.00",43596,"6,83,004.00",683,"5,39,760.00","1,43,244.00",143.24,21-08-2022,Aug,Q3,2021,Samuel Wilson,Amarilla,USA,"2,076.00"
84,Government,CUST_ID_059,PROD_ID_001,Medium,"1,757.00",5,20,"35,140.00",2108.4,"33,031.60",33.03,"17,570.00","15,461.60",15.46,18-05-2022,May,Q2,2021,Aiden Martin,Montana,England,"1,757.00"
85,Government,CUST_ID_052,PROD_ID_002,Medium,"1,757.00",10,20,"35,140.00",2108.4,"33,031.60",33.03,"17,570.00","15,461.60",15.46,29-08-2022,Aug,Q3,2021,Charlotte Martin,Paseo,France,"1,757.00"
86,Government,CUST_ID_066,PROD_ID_005,Medium,"1,834.00",3,20,"36,680.00",2567.6,"34,112.40",34.11,"18,340.00","15,772.40",15.77,23-04-2022,Apr,Q2,2021,Harper Turner,Carretera,Canada,"1,834.00"
87,Government,CUST_ID_052,PROD_ID_002,Medium,"1,031.00",10,7,"7,217.00",505.19,"6,711.81",6.71,"5,155.00","1,556.81",1.56,06-02-2022,Feb,Q1,2021,Charlotte Martin,Paseo,France,"1,031.00"
88,Channel Partners,CUST_ID_067,PROD_ID_004,Medium,"2,215.00",250,12,"26,580.00",1860.6,"24,719.40",24.72,"6,645.00","18,074.40",18.07,02-01-2021,Jan,Q1,2021,Henry Phillips,VTT,England,"2,215.00"
89,Enterprise,CUST_ID_068,PROD_ID_001,Medium,"2,500.00",5,125,"3,12,500.00",21875,"2,90,625.00",290.63,"3,00,000.00","-9,375.00",-9.38,13-03-2021,Mar,Q1,2021,Amelia Martin,Montana,France,"2,500.00"
90,Midmarket,CUST_ID_026,PROD_ID_002,Medium,"2,931.00",10,15,"43,965.00",3077.55,"40,887.45",40.89,"29,310.00","11,577.45",11.58,12-09-2021,Sep,Q3,2021,Avery Turner,Paseo,Canada,"2,931.00"
91,Small Business,CUST_ID_069,PROD_ID_002,Medium,"1,123.00",10,300,"3,36,900.00",23583,"3,13,317.00",313.32,"2,80,750.00","32,567.00",32.57,16-06-2021,Jun,Q2,2021,Jackson Hill,Paseo,Germany,"1,123.00"
92,Small Business,CUST_ID_070,PROD_ID_002,Medium,"1,404.00",10,300,"4,21,200.00",29484,"3,91,716.00",391.72,"3,51,000.00","40,716.00",40.72,19-05-2022,May,Q2,2021,Abigail Garcia,Paseo,Italy,"1,404.00"
93,Channel Partners,CUST_ID_071,PROD_ID_002,Medium,"2,763.00",10,12,"33,156.00",2320.92,"30,835.08",30.84,"8,289.00","22,546.08",22.55,07-04-2021,Apr,Q2,2021,Aiden Perez,Paseo,India,"2,763.00"
94,Government,CUST_ID_072,PROD_ID_002,Medium,"2,125.00",10,7,"14,875.00",1041.25,"13,833.75",13.83,"10,625.00","3,208.75",3.21,14-06-2022,Jun,Q2,2021,Emily Hill,Paseo,Japan,"2,125.00"
95,Government,CUST_ID_041,PROD_ID_003,Medium,"1,421.00",120,20,"28,420.00",1989.4,"26,430.60",26.43,"14,210.00","12,220.60",12.22,11-02-2022,Feb,Q1,2021,Aiden Clark,Velo,USA,"1,421.00"
96,Government,CUST_ID_028,PROD_ID_003,Medium,588,120,20,"11,760.00",823.2,"10,936.80",10.94,"5,880.00","5,056.80",5.06,05-05-2022,May,Q2,2021,Sofia Phillips,Velo,France,588
97,Enterprise,CUST_ID_073,PROD_ID_006,Medium,994,260,125,"1,24,250.00",8697.5,"1,15,552.50",115.55,"1,19,280.00","-3,727.50",-3.73,06-06-2022,Jun,Q2,2021,Benjamin Phillips,Amarilla,USA,994
98,Small Business,CUST_ID_074,PROD_ID_001,Medium,"1,283.00",5,300,"3,84,900.00",30792,"3,54,108.00",354.11,"3,20,750.00","33,358.00",33.36,13-08-2021,Aug,Q3,2021,Mia Turner,Montana,Canada,"1,283.00"
99,Government,CUST_ID_072,PROD_ID_002,Medium,"2,409.00",10,7,"16,863.00",1349.04,"15,513.96",15.51,"12,045.00","3,468.96",3.47,14-11-2022,Nov,Q4,2021,Emily Hill,Paseo,Japan,"2,409.00"
100,Government,CUST_ID_072,PROD_ID_002,Medium,"2,146.00",10,350,"7,51,100.00",60088,"6,91,012.00",691.01,"5,57,960.00","1,33,052.00",133.05,21-10-2021,Oct,Q4,2021,Emily Hill,Paseo,Japan,"2,146.00"
101,Government,CUST_ID_040,PROD_ID_002,Medium,"1,946.00",10,7,"13,622.00",1089.76,"12,532.24",12.53,"9,730.00","2,802.24",2.8,16-02-2021,Feb,Q1,2021,Abigail Lewis,Paseo,Japan,"1,946.00"
102,Small Business,CUST_ID_061,PROD_ID_003,Medium,386,120,300,"1,15,800.00",9264,"1,06,536.00",106.54,"96,500.00","10,036.00",10.04,12-11-2022,Nov,Q4,2021,Benjamin Martin,Velo,Germany,386
103,Small Business,CUST_ID_075,PROD_ID_004,Medium,808,250,300,"2,42,400.00",19392,"2,23,008.00",223.01,"2,02,000.00","21,008.00",21.01,30-06-2022,Jun,Q2,2021,Logan Martin,VTT,England,808
104,Channel Partners,CUST_ID_076,PROD_ID_006,Medium,"1,375.00",260,12,"16,500.00",1320,"15,180.00",15.18,"4,125.00","11,055.00",11.06,07-10-2022,Oct,Q4,2021,Charlotte Garcia,Amarilla,France,"1,375.00"
105,Channel Partners,CUST_ID_077,PROD_ID_005,Medium,367,3,12,"4,404.00",396.36,"4,007.64",4.01,"1,101.00","2,906.64",2.91,17-02-2022,Feb,Q1,2021,Samuel Phillips,Carretera,Germany,367
106,Small Business,CUST_ID_078,PROD_ID_001,Medium,322,5,300,"96,600.00",8694,"87,906.00",87.91,"80,500.00","7,406.00",7.41,14-06-2021,Jun,Q2,2021,Harper Hill,Montana,Italy,322
107,Enterprise,CUST_ID_079,PROD_ID_001,Medium,"1,857.00",5,125,"2,32,125.00",20891.25,"2,11,233.75",211.23,"2,22,840.00","-11,606.25",-11.61,29-04-2022,Apr,Q2,2021,Henry Turner,Montana,India,"1,857.00"
108,Government,CUST_ID_043,PROD_ID_001,Medium,"1,611.00",5,7,"11,277.00",1014.93,"10,262.07",10.26,"8,055.00","2,207.07",2.21,30-11-2022,Nov,Q4,2021,Sebastian Phillips,Montana,England,"1,611.00"
109,Small Business,CUST_ID_080,PROD_ID_001,Medium,334,5,300,"1,00,200.00",9018,"91,182.00",91.18,"83,500.00","7,682.00",7.68,19-03-2022,Mar,Q1,2021,Amelia Martin,Montana,Japan,334
110,Channel Partners,CUST_ID_071,PROD_ID_002,Medium,367,10,12,"4,404.00",396.36,"4,007.64",4.01,"1,101.00","2,906.64",2.91,25-06-2022,Jun,Q2,2021,Aiden Perez,Paseo,India,367
111,Channel Partners,CUST_ID_014,PROD_ID_002,Medium,"1,775.00",10,12,"21,300.00",1917,"19,383.00",19.38,"5,325.00","14,058.00",14.06,09-03-2022,Mar,Q1,2021,Charlotte White,Paseo,Italy,"1,775.00"
112,Channel Partners,CUST_ID_081,PROD_ID_004,Medium,"2,234.00",250,12,"26,808.00",2412.72,"24,395.28",24.4,"6,702.00","17,693.28",17.69,11-07-2021,Jul,Q3,2021,Jackson Lewis,VTT,USA,"2,234.00"
113,Midmarket,CUST_ID_082,PROD_ID_006,Medium,970,260,15,"14,550.00",1309.5,"13,240.50",13.24,"9,700.00","3,540.50",3.54,16-08-2022,Aug,Q3,2021,Abigail Clark,Amarilla,Canada,970
114,Government,CUST_ID_008,PROD_ID_004,Medium,"2,682.00",250,20,"53,640.00",4827.6,"48,812.40",48.81,"26,820.00","21,992.40",21.99,20-01-2022,Jan,Q1,2021,Isabella Wilson,VTT,Japan,"2,682.00"
115,Channel Partners,CUST_ID_083,PROD_ID_006,Medium,306,260,12,"3,672.00",330.48,"3,341.52",3.34,918,"2,423.52",2.42,12-11-2021,Nov,Q4,2021,Aiden Anderson,Amarilla,England,306
116,Channel Partners,CUST_ID_084,PROD_ID_005,High,386,3,12,"4,632.00",463.2,"4,168.80",4.17,"1,158.00","3,010.80",3.01,21-08-2022,Aug,Q3,2021,Emily Martin,Carretera,France,386
117,Channel Partners,CUST_ID_005,PROD_ID_002,High,386,10,12,"4,632.00",463.2,"4,168.80",4.17,"1,158.00","3,010.80",3.01,13-01-2022,Jan,Q1,2021,Liam Jones,Paseo,Germany,386
